GENERO;IDOSO;CASADO;DEPENDENTES;TEMPO_COMO_CLIENTE;SERVICOTELEFONE;SERVICO_INTERNET;SERVICO_SEGURANCA;SUPORTE_TECNICO;STREAMINGTV;TIPO_CONTRATO;METODOPAGAMENTO;PAGAMENTO_MENSAL;TOTAL_PAGO;CHURN
MALE;0;YES;NO;55;YES;FIBER OPTIC;YES;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;5238.9;YES
FEMALE;0;NO;NO;52;YES;DSL;YES;YES;NO;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;3042.25;NO
FEMALE;0;NO;NO;43;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;3954.1;NO
FEMALE;1;YES;NO;37;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;2868.15;YES
FEMALE;0;YES;YES;64;NO;DSL;NO;YES;YES;TWO YEAR;ELECTRONIC CHECK;71.45;3423.5;NO
MALE;0;YES;YES;3;YES;FIBER OPTIC;YES;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;248.4;NO
FEMALE;0;NO;NO;36;NO;DSL;YES;NO;NO;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;1126.35;NO
FEMALE;0;YES;YES;10;YES;FIBER OPTIC;YES;NO;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;1064.65;YES
FEMALE;0;NO;NO;41;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;71.45;835.15;NO
MALE;0;YES;YES;27;YES;FIBER OPTIC;NO;YES;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;2151.6;NO
FEMALE;0;YES;YES;56;YES;FIBER OPTIC;NO;NO;YES;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;5515.45;NO
FEMALE;0;NO;NO;6;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;71.45;112.75;NO
MALE;0;NO;NO;3;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;229.55;YES
FEMALE;0;YES;YES;7;YES;DSL;YES;NO;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;350.35;NO
FEMALE;0;YES;YES;4;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;71.45;62.9;NO
MALE;0;NO;NO;33;YES;FIBER OPTIC;YES;YES;YES;TWO YEAR;ELECTRONIC CHECK;71.45;3027.65;NO
FEMALE;1;NO;NO;27;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;2135.5;YES
MALE;0;YES;NO;72;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;1723.95;NO
MALE;0;NO;NO;1;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;71.45;19.75;NO
MALE;1;NO;NO;71;NO;DSL;YES;NO;YES;ONE YEAR;ELECTRONIC CHECK;71.45;3985.35;NO
FEMALE;0;NO;NO;13;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;1215.65;NO
FEMALE;0;YES;YES;25;NO;DSL;YES;NO;YES;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;1502.65;YES
MALE;0;NO;NO;67;YES;DSL;NO;YES;NO;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;3260.1;NO
MALE;0;NO;NO;1;NO;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;35.45;YES
MALE;0;NO;NO;2;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;81.25;YES
FEMALE;0;NO;NO;43;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;1188.2;NO
FEMALE;0;NO;NO;23;YES;FIBER OPTIC;YES;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;1778.5;NO
FEMALE;0;YES;YES;64;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;71.45;1277.75;NO
MALE;0;NO;YES;57;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;71.45;1170.55;NO
FEMALE;1;YES;NO;1;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;70.45;YES
FEMALE;1;YES;YES;72;YES;DSL;YES;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;6425.65;NO
FEMALE;0;NO;NO;8;YES;DSL;YES;YES;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;563.65;YES
FEMALE;0;YES;NO;61;YES;FIBER OPTIC;NO;NO;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;5971.25;NO
MALE;0;NO;NO;64;YES;FIBER OPTIC;YES;NO;NO;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;5289.05;NO
MALE;1;YES;NO;71;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;1756.2;NO
FEMALE;0;YES;YES;65;YES;FIBER OPTIC;YES;YES;YES;TWO YEAR;CREDIT CARD (AUTOMATIC);71.45;6416.7;NO
MALE;0;NO;NO;3;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;MAILED CHECK;71.45;61.35;NO
MALE;0;NO;NO;1;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;45.65;YES
MALE;0;NO;YES;30;YES;DSL;NO;NO;YES;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;1929.95;NO
MALE;0;YES;YES;15;YES;DSL;NO;YES;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;1071.4;NO
FEMALE;0;YES;YES;8;YES;DSL;NO;YES;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;564.35;NO
MALE;0;NO;NO;7;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;MAILED CHECK;71.45;655.5;YES
FEMALE;0;YES;YES;70;YES;FIBER OPTIC;YES;NO;YES;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;7930.55;NO
MALE;0;YES;YES;62;YES;DSL;YES;YES;YES;TWO YEAR;ELECTRONIC CHECK;71.45;5215.25;NO
FEMALE;0;YES;YES;6;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;MAILED CHECK;71.45;113.5;NO
FEMALE;0;YES;YES;14;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;1152.8;NO
FEMALE;0;NO;NO;22;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;1821.95;NO
MALE;0;YES;YES;22;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;MAILED CHECK;71.45;419.9;NO
MALE;0;YES;YES;16;YES;DSL;YES;NO;YES;TWO YEAR;MAILED CHECK;71.45;1024.0;NO
MALE;0;NO;NO;10;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;251.6;NO
FEMALE;0;NO;YES;13;YES;DSL;YES;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;764.55;NO
FEMALE;0;YES;NO;20;YES;FIBER OPTIC;YES;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;1592.35;YES
FEMALE;0;NO;NO;2;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;135.2;NO
MALE;0;NO;NO;53;YES;DSL;NO;YES;NO;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;3958.25;NO
FEMALE;0;YES;YES;11;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;MAILED CHECK;71.45;233.9;NO
MALE;0;YES;NO;69;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;TWO YEAR;MAILED CHECK;71.45;1363.45;NO
FEMALE;0;NO;NO;4;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;273.0;YES
MALE;0;YES;NO;72;YES;DSL;YES;YES;YES;TWO YEAR;BANK TRANSFER (AUTOMATIC);71.45;6254.45;NO
MALE;1;YES;NO;58;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;2651.2;YES
FEMALE;0;YES;YES;16;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;321.4;NO
MALE;0;YES;NO;43;YES;FIBER OPTIC;YES;YES;NO;ONE YEAR;BANK TRANSFER (AUTOMATIC);71.45;3539.25;NO
FEMALE;0;YES;NO;2;YES;FIBER OPTIC;NO;YES;YES;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;242.8;YES
MALE;0;YES;NO;14;YES;DSL;NO;YES;YES;TWO YEAR;MAILED CHECK;71.45;1181.75;NO
FEMALE;0;YES;NO;53;YES;FIBER OPTIC;NO;NO;YES;ONE YEAR;BANK TRANSFER (AUTOMATIC);71.45;5000.2;YES
FEMALE;0;NO;NO;32;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;BANK TRANSFER (AUTOMATIC);71.45;654.55;NO
FEMALE;0;YES;NO;34;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;780.2;NO
FEMALE;1;NO;NO;15;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;1145.7;YES
FEMALE;1;NO;NO;7;YES;FIBER OPTIC;YES;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;503.6;YES
FEMALE;0;YES;YES;15;YES;FIBER OPTIC;NO;NO;YES;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;1559.25;NO
MALE;0;YES;NO;61;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;1252.0;NO
FEMALE;0;NO;NO;1;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;29.95;YES
FEMALE;0;NO;NO;1;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;45.3;NO
MALE;0;NO;NO;8;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;BANK TRANSFER (AUTOMATIC);71.45;662.65;YES
MALE;0;YES;YES;33;YES;DSL;YES;NO;YES;ONE YEAR;CREDIT CARD (AUTOMATIC);71.45;2453.3;NO
FEMALE;0;NO;NO;13;YES;FIBER OPTIC;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;1111.65;YES
FEMALE;0;YES;NO;1;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;24.8;YES
MALE;0;NO;NO;20;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;MAILED CHECK;71.45;1023.85;NO
MALE;0;NO;NO;3;YES;DSL;NO;YES;NO;MONTH-TO-MONTH;ELECTRONIC CHECK;71.45;82.15;NO
FEMALE;0;NO;NO;13;YES;NO;NO INTERNET SERVICE;NO INTERNET SERVICE;NO INTERNET SERVICE;ONE YEAR;ELECTRONIC CHECK;71.45;244.8;NO
FEMALE;0;YES;NO;40;YES;DSL;NO;NO;NO;MONTH-TO-MONTH;CREDIT CARD (AUTOMATIC);71.45;2379.1;NO
